Exercise Name,Main Muscles,Equipment,Movement Pattern,Mechanics,Level,Type,Laterality
Machine Row - Overhand,"","","","",Beginner,strength,bilateral
McGil Curl Up,Abs,Bodyweight,"Core Flexion, Core",Isolation,Beginner,endurance,bilateral
Medial Elbow Tack and Twist,,,,,"",strength,bilateral
Medicine Ball Crunch,,,,,"",strength,bilateral
Medicine Ball Plank,,,,,"",strength,bilateral
Medicine Ball Plank Alternating Knee To Chest,,,,,"",strength,bilateral
Medicine Ball Plank Knee To Chest,,,,,"",strength,bilateral
Medicine Ball Push Up,"Chest, Shoulders, Triceps","Medicine Ball, Bodyweight","Horizontal Push, Unilateral (Single Arm or Leg)",Compound,Intermediate,endurance,bilateral
Medicine Ball Slam From Knees,,,,,"",strength,bilateral
Mini Blind Bodyweight Bench Press,,,,,"",strength,bilateral
Mini Blind Leg Extension,,,,,"",strength,bilateral
Monkey Bar of Death,,,,,"",strength,bilateral
Mountain Climbers,,,,,"",strength,bilateral
Mystic Crunch,,,,,"",strength,bilateral
Negative Chin Up,,,,,"",strength,bilateral
Negative Close Grip Chin Up,,,,,"",strength,bilateral
Negative Pull Up,,,,,"",strength,bilateral
Negative Wide Grip Pull Up,,,,,"",strength,bilateral
Neutral Dumbbell Curl,Biceps,Dumbbell,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Neutral Grip Chin Up,,,,,"",strength,bilateral
Nordic Hamstring Curl,,,,,"",strength,bilateral
Offset Barbell Reverse Lunge,,,,,"",strength,bilateral
Offset Carry - Kettlebell Suitcase,,,,,"",strength,bilateral
Overhead Distribution with External,,,,,"",strength,bilateral
Overhead Stretch,,,,,"",strength,bilateral
Partner Assisted Nordic Hamstring Curl,,,,,"",strength,bilateral
Paused Barbell Back Squat,"Quads, Glutes",Barbell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Paused Dumbbell Goblet Box Squat,"Quads, Glutes","Box/Step, Bench, Dumbbell","Bilateral (2 Arms and/or 2 Legs), Squat",Compound,Beginner,strength,bilateral
Pec Stretch,,,,,"",strength,bilateral
Pendlay Row,"Lats, Middle Back, Biceps",Barbell,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Pigeon Stretch,,,,,"",strength,bilateral
Plank Arm Reach,,,,,"",strength,bilateral
Plank Band Pulldown,,,,,"",strength,bilateral
Plank Cable Row,,,,,"",strength,bilateral
Plank Ext Plank Side Lying Hip,,,,,"",strength,bilateral
Plank Ext Range Side Lying Hip Abduction,,,,,"",strength,bilateral
Plank Pull Through,,,,,"",strength,bilateral
Plank with Leg Abduction,,,,,"",strength,bilateral
Plantar Mob - Lacrosse Ball,,,,,"",strength,bilateral
Planting Jacks,,,,,"",strength,bilateral
Plate Push Up,"Chest, Triceps, Shoulders",Plate,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Advanced,strength,bilateral
Plyometric Push-Up,"Chest, Shoulders, Triceps","Bodyweight, Box/Step","Plyometrics, Bilateral (2 Arms and/or 2 Legs), Horizontal Push",Compound,Advanced,endurance,bilateral
Posterior Chain Floss,,,,,"",strength,bilateral
Posterior Chain Floss - 2,,,,,"",strength,bilateral
Posterior Chain Moh,,,,,"",strength,bilateral
Posterior Neck Mobilisation - Lacrosse Ball,,,,,"",strength,bilateral
Pronated Bent Over Row,"Lower Back, Middle Back, Traps",Barbell,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Pronated to Neutral Grip TRX Row,"Biceps, Middle Back, Lats, Traps",TRX,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Prone Back Extension,,,,,"",strength,bilateral
Prone Dumbbell Overhead Press On Bench,,,,,"",strength,bilateral
Prone Overhead Press On Bench,,,,,"",strength,bilateral
Prone Shoulder External Rotation At 90 Degrees,,,,,"",strength,bilateral
Prone T,,,,,"",strength,bilateral
Prone TT - Elbows 90 Degrees,,,,,"",strength,bilateral
Prone Y,,,,,"",strength,bilateral
Pull Up,,,,,"",strength,bilateral
Push Up,"Chest, Shoulders, Triceps",Bodyweight,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Push Up From Knees,"Chest, Shoulders, Triceps",Bodyweight,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
"Quadruped ""T""",,,,,"",strength,bilateral
Quadruped Ball Chin Tucks,,,,,"",strength,bilateral
"Quadruped Band ""T""",,,,,"",strength,bilateral
"Quadruped Band ""Y""",,,,,"",strength,bilateral
Quadruped Banded Scapular Retraction,,,,,"",strength,bilateral
Quadruped T Spine Rotations,,,,,"",strength,bilateral
Quadruped T Spine Rotations - Lumbar Locked (Roller),,,,,"",strength,bilateral
Quadruped X,,,,,"",strength,bilateral
RKC Plank,,,,,"",strength,bilateral
RNT Split Squat (Lateral),"Adductors, Glutes, Quads","Bodyweight, Long Band","Unilateral (Single Arm or Leg), Lunge",Compound,Beginner,endurance,bilateral
RNT Split Squat (Medial),"Abductors, Glutes, Quads","Bodyweight, Long Band","Lunge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Rack Assisted Squat,,,,,"",strength,bilateral
Rack Kettlebell Reverse Lunge,"Abductors, Glutes, Quads",Kettlebell,"Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Rack Kettlebell Split Squat,"Abductors, Glutes, Quads",Kettlebell,"Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Rack Single Kettlebell Reverse Lunge,"Abductors, Glutes, Quads, Obliques",Kettlebell,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Rack Single Kettlebell Split Squat,"Abductors, Glutes, Quads",Kettlebell,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Rear Foot Elevated Single DB Split Squat,"Abductors, Glutes, Quads","Box/Step, Dumbbell","Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Rear Foot Elevated Single KB Split Squat,"Abductors, Glutes, Quads","Box/Step, Kettlebell","Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Reverse Crunch,,,,,"",strength,bilateral
Reverse Crunch On Bench,,,,,"",strength,bilateral
Reverse Crunch On Bench with Roller,,,,,"",strength,bilateral
Reverse Crunch With Roller,,,,,"",strength,bilateral
Reverse Lunge,"Abductors, Glutes, Quads",Bodyweight,"Lunge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Reverse Nordic Curl,"Hip Flexor, Quads",Bodyweight,"Knee Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Intermediate,strength,bilateral
Reverse Plank,,,,,"",strength,bilateral
Rope Neutral Curl,"","","","",Beginner,strength,bilateral
Rope Pressdown,,,,,"",strength,bilateral
Rope Supinating Curl,,,,,"",strength,bilateral
Russian Twists,,,,,"",strength,bilateral
Scissor Jump,,,,,"",strength,bilateral
Seated Alternating Arnold Press,,,,,"",strength,bilateral
Seated Alternating Dumbbell Curl,Biceps,"Dumbbell, Bench","Elbow Flexion, Alternating",Isolation,Beginner,strength,bilateral
Seated Alternating Dumbbell Neutral,,,,,"",strength,bilateral
Seated Alternating Neutral Dumbbell Curl,Biceps,"Dumbbell, Bench","Elbow Flexion, Alternating",Isolation,Beginner,strength,bilateral
Seated Arnold Press,,,,,"",strength,bilateral
Seated Band One Arm Row,"Lats, Middle Back, Biceps",Long Band,"Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Seated Barbell Press,,,,,"",strength,bilateral
Seated Bent-Over Dumbbell Reverse Fly,,,,,"",strength,bilateral
Seated Chain Retractions,,,,,"",strength,bilateral
Seated Dowel Thoracic Rotations,,,,,"",strength,bilateral
Seated Dual Cable Row,"Biceps, Lats, Middle Back","Cable, Bench","Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,strength,bilateral
Seated Dual Pulley Face Pull,,,,,"",strength,bilateral
Seated Dumbbell Curl,Biceps,"Bench, Dumbbell","Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,strength,bilateral
Seated Dumbbell Frontal Raise,,,,,"",strength,bilateral
Seated Dumbbell Lateral Raise,,,,,"",strength,bilateral
Seated Dumbbell Neural Grip Press,,,,,"",strength,bilateral
Seated Dumbbell Troep Extension,,,,,"",strength,bilateral
Seated Dumbbell Troep Extension - Pronating,,,,,"",strength,bilateral
Seated EZ Bar Troep Extension,,,,,"",strength,bilateral
Seated Neutral Grip Chin Up,,,,,"",strength,bilateral
Seated Rope Neutral Grip Pull,,,,,"",strength,bilateral
Seated Rope Pull,,,,,"",strength,bilateral
Seated Straight Bar Row,"Middle Back, Traps, Posterior Shoulder","Cable, Bench","Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,strength,bilateral
Seated Trap Bar Overhead Press,,,,,"",strength,bilateral
Shoulder Capsule Mobilization,,,,,"",strength,bilateral
Shoulder Rolls,,,,,"",strength,bilateral
Shoulder Rotator (1): Smooth & Floss - Lacrosse,,,,,"",strength,bilateral
Shoulder Rotator (2): Smooth & Floss - Lacrosse,,,,,"",strength,bilateral
Shoulder Scretch,,,,,"",strength,bilateral
Shoulder Taps,,,,,"",strength,bilateral
Side Hip Snatch - Lacrosse Ball,,,,,"",strength,bilateral
Side Lying Dumbbell Abduction to 45°,,,,,"",strength,bilateral
Side Lying Hip Raise,,,,,"",strength,bilateral
Side Plank,"Abs, Obliques",Bodyweight,"Core Anti-Lateral Flexion, Unilateral (Single Arm or Leg), Core","",Beginner,endurance,bilateral
Side Plank,,,,,"",strength,bilateral
Side Plank Cable/Band Row,"Lats, Middle Back, Obliques","Cable, Long Band","Horizontal Pull, Unilateral (Single Arm or Leg), Core, Core Anti-Rotation, Core Anti-Lateral Flexion",Compound,Intermediate,strength,bilateral
Side Plank Claimshelf,,,,,"",strength,bilateral
Side-Lying Dumbbell External Rotation,,,,,"",strength,bilateral
Side-Lying Dumbbell Rear Delt Raise,,,,,"",strength,bilateral
Side-to Side Leg Swings,,,,,"",strength,bilateral
Single Arm Cable Drag Curl,,,,,"",strength,bilateral
Single Arm Cube Dumbbell Press,,,,,"",strength,bilateral
Single Arm Dumbbell Floor Press,,,,,"",strength,bilateral
Single Arm Dumbbell Press,,,,,"",strength,bilateral
Single Arm Dumbbell Renegade Row,"Abs, Lats, Middle Back, Shoulders","Box/Step, Dumbbell","Horizontal Pull, Core Anti-Rotation, Unilateral (Single Arm or Leg)",Compound,Advanced,strength,bilateral
Single Arm Dumbbell Row,"Lats, Middle Back","Bench, Dumbbell","Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
Single Arm Incline Dumbbell Press,,,,,"",strength,bilateral
Single Arm Kettlebell Renegade Row,"Abs, Middle Back, Lats, Shoulders","Dumbbell, Box/Step","Horizontal Pull, Core Anti-Rotation, Unilateral (Single Arm or Leg)",Compound,Advanced,strength,bilateral
Single Arm Kettlebell Row,"Lats, Middle Back",Kettlebell,"Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
Single Arm Kettlebell Swing,,,,,"",strength,bilateral
Single Arm Neutral Cable Curl,,,,,"",strength,bilateral
Single Arm Neutral Dumbbell Overhead Press,,,,,"",strength,bilateral
Single Arm Overhead Kettlebell Carry,,,,,"",strength,bilateral
Single Arm Overhead Kettlebell Hold,,,,,"",strength,bilateral
Single Dumbbell Deficit Reverse Lunge,"Abductors, Glutes, Quads","Box/Step, Dumbbell","Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Single Dumbbell Lateral Step Up,,,,,"",strength,bilateral
Single Dumbbell Lunge,"Abductors, Glutes, Quads",Dumbbell,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Single Dumbbell Neutral Scott Curl,Biceps,"Bench, Dumbbell","Elbow Flexion, Unilateral (Single Arm or Leg)",Isolation,Beginner,strength,bilateral
Single Dumbbell Reverse Lunge,"Abductors, Glutes, Quads",Dumbbell,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Single Dumbbell Scott Curl,Biceps,"Dumbbell, Bench","Elbow Flexion, Unilateral (Single Arm or Leg)",Isolation,Beginner,strength,bilateral
Single Dumbbell Step Up,,,,,"",strength,bilateral
Single Handle Cable Curl,,,,,"",strength,bilateral
Single Handle Neutral Cable Curl,"","","","",Beginner,strength,bilateral
Single Handle Reverse Cable Curl,,,,,"",strength,bilateral
Single Kettlebell Clean and Reverse Lunge,"Abductors, Glutes, Quads, Shoulders, Traps",Kettlebell,"Lunge, Vertical Push, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Single Kettlebell Deficit Reverse Lunge,"Abductors, Glutes, Quads","Box/Step, Kettlebell","Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Single Kettlebell Lateral Step Up,,,,,"",strength,bilateral
Single Kettlebell Lunge,"Abductors, Glutes, Quads",Kettlebell,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Beginner,strength,bilateral
Single Kettlebell Push Press,Shoulders,Kettlebell,"Vertical Push, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Single Kettlebell Rock Carry,,,,,"",strength,bilateral
Single Leg Flexion & External Rotation,,,,,"",strength,bilateral
Single Leg Flexion With External,,,,,"",strength,bilateral
Single Leg Hamstring Curl,,,,,"",strength,bilateral
Single Leg Hip Raise,,,,,"",strength,bilateral
Single Leg Hip Raise - Am Bind,,,,,"",strength,bilateral
Single Leg Kettlebell Glute Bridge,,,,,"",strength,bilateral
Single Leg RDL,,,,,"",strength,bilateral
Single Leg RDL (Sled encozted),,,,,"",strength,bilateral
Single Leg RDL - Skin On Bench,,,,,"",strength,bilateral
Single Leg Straight Arm and Knee,,,,,"",strength,bilateral
Single Leg Straight Straight,,,,,"",strength,bilateral
Single-Arm Dumbbell Row (High Pull),"Posterior Shoulder, Middle Back","Dumbbell, Box/Step, Bench","Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
Single-Arm Machine Row,"","","","",Beginner,strength,bilateral
Single-Leg Dumbbell RDL To Row,"Abs, Abductors, Lats, Middle Back, Glutes, Lower Back",Dumbbell,"Horizontal Pull, Hip Hinge, Contralateral (Opposite Side Arm & Leg)",Compound,Advanced,strength,bilateral
Single-Leg Kettlebell RDL,,,,,"",strength,bilateral
Single-Leg Kettlebell RDL To Row,"Abs, Abductors, Glutes, Hamstrings, Lats, Middle Back, Lower Back",Kettlebell,"Hip Hinge, Contralateral (Opposite Side Arm & Leg)",Compound,Advanced,strength,bilateral
Single-Leg Press (Heel Off),"","","","",Beginner,strength,bilateral
Sit Erg,,,,,"",strength,bilateral
Sliding Leg Curl,Hamstrings,Bodyweight,"Knee Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Smith Machine Hip Thrust,,,,,"",strength,bilateral
Snatch Grip Barbell RDL,,,,,"",strength,bilateral
Split Stance Band Single Arm Curl,Biceps,Long Band,"Elbow Flexion, Unilateral (Single Arm or Leg)",Isolation,Beginner,endurance,bilateral
Split Stance Band Single Arm Row,"Biceps, Lats, Middle Back",Long Band,"Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Split Stance Band Single Triceps Extension,Triceps,Long Band,"Elbow Extension, Unilateral (Single Arm or Leg)",Isolation,Beginner,endurance,bilateral
Split Stance Cable Row,"Biceps, Lats, Middle Back",Cable,"Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
Split Stance Dumbbell Row,"Middle Back, Lats, Biceps","Dumbbell, Bench, Box/Step","Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Split Stance Pallof Press,,,,,"",strength,bilateral
Split Stance Pallof Press Hold,,,,,"",strength,bilateral
Split Stance Pull Press,,,,,"",strength,bilateral
Split Stance Single Arm Trap 3 Raise,,,,,"",strength,bilateral
Split Stance Single Crab Neck Press Hold,,,,,"",strength,bilateral
Split Stance Single Leg Raise,,,,,"",strength,bilateral
Split Suance Cable Single Crab Press,,,,,"",strength,bilateral
Splitter Calf Stretch,,,,,"",strength,bilateral
Squat Jump,"Quads, Glutes, Calves, Ankle & Foot",Bodyweight,"Squat, Plyometrics, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Standing Alternating Dumbbell Press,,,,,"",strength,bilateral
Standing Alternating Kettlebell Press,,,,,"",strength,bilateral
Standing Band Overhead Triceps Extension,Triceps,Long Band,"Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Standing Band Shoulder Press,,,,,"",strength,bilateral
Standing Banded Clam,,,,,"",strength,bilateral
Standing Banded Single Hip Flexion,,,,,"",strength,bilateral
Standing Cable Cuff Lateral Raise,,,,,"",strength,bilateral
Standing Calf Raise,,,,,"",strength,bilateral
Standing Dumbbell Calf Raise,,,,,"",strength,bilateral
Standing Dumbbell Lateral Raise,,,,,"",strength,bilateral
Standing Dumbbell Push Press,Shoulders,Dumbbell,"Vertical Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Standing Dumbbell Single Calf Raise,,,,,"",strength,bilateral
Standing Kettlebell Press,,,,,"",strength,bilateral
Standing Lateral Calf Stretch,,,,,"",strength,bilateral
Standing Pallof Press,,,,,"",strength,bilateral
Standing Pallof Press Hold,,,,,"",strength,bilateral
Standing Single Arm Dumbbell Press,,,,,"",strength,bilateral
Standing Single Calf Raise,,,,,"",strength,bilateral
Straight Arm Side Plank,,,,,"",strength,bilateral
Straight Arm Side Plank Cable/Band Row,"Obliques, Middle Back, Lats","Cable, Long Band","Horizontal Pull, Core Anti-Lateral Flexion, Core Anti-Rotation, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Straight Arm Side Plank Twist,,,,,"",strength,bilateral
Straight Arm Side Plank With Band And Hold,,,,,"",strength,bilateral
Straight Arm and Knee Side Plank,,,,,"",strength,bilateral
Straight Bar Pressdown,,,,,"",strength,bilateral
Straight Leg Swing,,,,,"",strength,bilateral
Sumo Kettlebell Deadlift,"Hamstrings, Glutes, Adductors, Middle Back",Kettlebell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Sun Salutations,,,,,"",strength,bilateral
Super Front Rack,,,,,"",strength,bilateral
Superfrog,,,,,"",strength,bilateral
Supinated Bent Over Row,,,,,"",strength,bilateral
Supine Biceps Femouris Stretch,,,,,"",strength,bilateral
Supine Chin Retractions,,,,,"",strength,bilateral
Supine Foam Hands Banded Hip Abduction,,,,,"",strength,bilateral
Supracellular Smash and Floss - Lacrosse,,,,,"",strength,bilateral
Suspension Trainer Triceps Extension,,,,,"",strength,bilateral
Swiss Ball Body Saw,"","","","",Beginner,strength,bilateral
Swiss Ball Deadbug,"","","","",Beginner,strength,bilateral
Swiss Ball Leg Curl,Hamstrings,Swiss Ball,"Knee Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Intermediate,endurance,bilateral
Swiss Ball Leg Raise,,,,,"",strength,bilateral
Swiss Ball Plank,,,,,"",strength,bilateral
Swiss Ball Rollouts,,,,,"",strength,bilateral
Swiss Ball Single-Leg Curl,Hamstrings,Swiss Ball,"Knee Flexion, Unilateral (Single Arm or Leg)",Isolation,Intermediate,endurance,bilateral
Swiss Ball To Hip Delt,,,,,"",strength,bilateral
"T, Y, T's",,,,,"",strength,bilateral
TRX Atomic Push-Up,"Chest, Shoulders, Triceps, Abs",TRX,"Horizontal Push, Core Anti-Extension, Bilateral (2 Arms and/or 2 Legs), Core",Compound,Intermediate,endurance,bilateral
TRX Biceps Stretch,Biceps,TRX,Static Stretches,"",Beginner,general,bilateral
TRX Body Saw,Abs,TRX,"Core Anti-Extension, Bilateral (2 Arms and/or 2 Legs)","",Intermediate,endurance,bilateral
TRX Chest Press,"Chest, Triceps, Shoulders",TRX,Bilateral (2 Arms and/or 2 Legs),Compound,Beginner,endurance,bilateral
TRX Chest Stretch,"Chest, Shoulders",TRX,Static Stretches,"",Beginner,general,bilateral
TRX Fly,Chest,TRX,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
TRX Hamstring Curl,,,,,"",strength,bilateral
TRX Knees To Chest,Abs,TRX,"Core Anti-Extension, Bilateral (2 Arms and/or 2 Legs)","",Intermediate,endurance,bilateral
TRX Knees To Elbow,"Abs, Obliques",TRX,"Core Flexion, Alternating","",Intermediate,endurance,bilateral
TRX Lat Stretch,Lats,TRX,Static Stretches,"",Beginner,general,bilateral
TRX Neutral Row,"Biceps, Middle Back, Lats",TRX,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
TRX Pike,Abs,"","Core Anti-Extension, Core, Bilateral (2 Arms and/or 2 Legs)","",Intermediate,endurance,bilateral
TRX Plank,Abs,TRX,"Core Anti-Extension, Bilateral (2 Arms and/or 2 Legs), Core","",Intermediate,timed,bilateral
TRX Pronated Row,"Middle Back, Traps, Posterior Shoulder",TRX,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
TRX Pull Up,"Middle Back, Biceps, Lats",TRX,Vertical Pull,Compound,Beginner,endurance,bilateral
TRX Reverse Fly,"","","","",Beginner,strength,bilateral
TRX Reverse Lunge,"Abductors, Glutes, Quads",TRX,"Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,endurance,bilateral
TRX Side Plank,"Abs, Obliques",TRX,"Core Anti-Lateral Flexion, Unilateral (Single Arm or Leg)","",Intermediate,timed,bilateral
TRX Side Plank Knee to Chest,"Abs, Obliques",TRX,"Core Anti-Lateral Flexion, Unilateral (Single Arm or Leg)","",Advanced,endurance,bilateral
TRX Single Knee To Chest,Abs,TRX,"Core Anti-Extension, Alternating","",Intermediate,endurance,bilateral
TRX Squat,"Glutes, Quads",TRX,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
TRX Straight Arm Plank,"Abs, Shoulders",TRX,"Core Anti-Extension, Bilateral (2 Arms and/or 2 Legs), Core","",Intermediate,timed,bilateral
TRX Triceps Extension,"","","","",Beginner,strength,bilateral
Table Top Stretch,Shoulders,Bodyweight,Static Stretches,"",Beginner,general,bilateral
Talus Raise,,,,,"",strength,bilateral
Tempo Knee Extension,,,,,"",strength,bilateral
Thoracic Spine - Peanut,,,,,"",strength,bilateral
Thread The Needle Hold,,,,,"",strength,bilateral
Thumb and Hand Squeeze - Lacrosse Ball,,,,,"",strength,bilateral
Thumb and Hand Squeeze and Floss - Lacrosse,,,,,"",strength,bilateral
Tibialis Raise,,,,,"",strength,bilateral
Tibialis Raise,"","","","",Beginner,strength,bilateral
Tip Toe Walks,"","","","",Beginner,strength,bilateral
Toe Elevated Kettlebell RDL,,,,,"",strength,bilateral
Toe Touch Progression,,,,,"",strength,bilateral
Towel Sequences,,,,,"",strength,bilateral
Trap Bar Bent Over Row,"Lower Back, Middle Back, Lats",Barbell,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Trap Bar Carry,"Abs, Traps",Barbell,"Carry, Core Anti-Flexion, Bilateral (2 Arms and/or 2 Legs)","",Intermediate,strength,bilateral
Trap Bar Deadlift,"Hamstrings, Middle Back, Glutes",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Trap Bar Deadlift From Blocks,"Glutes, Hamstrings, Middle Back",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Trap Bar Deadlift and Carry,"Abs, Traps",Barbell,"Core Anti-Flexion, Bilateral (2 Arms and/or 2 Legs), Core, Carry","",Intermediate,strength,bilateral
Trap Bar RDL,"Lower Back, Hamstrings, Glutes",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Treadmill Sprints,,,,,"",strength,bilateral
Triple Bully,,,,,"",strength,bilateral
Trunk Stability Rotation Knees Fixed,,,,,"",strength,bilateral
Underhand Chest Supported Cable Row,,,,,"",strength,bilateral
Underhand Handle Press Down,,,,,"",strength,bilateral
Underhand Rope Pressdown,,,,,"",strength,bilateral
Underhand Seated Cable Row (Straight Bar),,,,,"",strength,bilateral
Upper Body Warm Up (Push Focused),,,,,"",strength,bilateral
Upper Trap Stretch,,,,,"",strength,bilateral
Walking Lunges,,,,,"",strength,bilateral
Walkout,,,,,"",strength,bilateral
Walkout Assisted Hamstring Stretch,,,,,"",strength,bilateral
Weighted Flutter Kicks,,,,,"",strength,bilateral
Weighted Russian Twists,,,,,"",strength,bilateral
Weighted Seated Heel Raise,,,,,"",strength,bilateral
Wide Grip Pull Up,,,,,"",strength,bilateral
Worlds Greatest Stretch,,,,,"",strength,bilateral
Wrist Sequence - Lacrosse Ball,,,,,"",strength,bilateral
